category,subcategory,brand,product_line_or_model,evidence_type,evidence_url,key_spec_trends,notes,capture_date
Tapware,Wall Mixer,Caroma,"Contura II Wall Basin/Bath Mixer 180mm (849051C6AF)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/caroma-contura-ii-wall-basinbath-mixer-180mm-chrome-117824/?category=/products/tapware/,"Chrome; wall-mounted; 180mm spout reach; WaterMark; trim-kit option (849052C6AF)","Contura II wall mixer available on Specify portal with trim-kit option.",2026-02-09
Tapware,Basin Mixer,Caroma,"Liano II Basin Mixer – Chrome – Lead Free (96341C6AF)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/caroma-liano-ii-basin-mixer-chrome-115234/,"Lead-free brass; Chrome (also Matte Black / Brushed Nickel / Brushed Brass / Gunmetal); WELS 6-Star (4.5L/min); 25mm ceramic disc cartridge; 120mm outlet; WaterMark certified; European SoftPEX hoses; 20-year warranty; BIM files available","Liano II Basin Mixer available on Specify portal. Product page confirms WELS 6-Star rating at 4.5L/min, lead-free brass construction, and BIM file availability.",2026-02-09
Tapware,Shower,Methven,"Aio Aurajet Hi-Rise Shower (AOHRCPAU)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/aio-aurajet-hi-rise-shower-chrome-chrome-99890/?category=/brands/methven/,"Aurajet technology; Chrome; hi-rise overhead shower; WaterMark; WELS rated","Aio Aurajet hi-rise shower available on Specify portal. Product page describes Aurajet air-infusion spray technology.",2026-02-09
Tapware,Shower,Methven,"Krome 100mm 3 Function Hand Shower (17-7103M)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/krome-100mm-3-function-hand-shower-chrome-99813/?category=/brands/methven/,"Chrome; 3 functions; 100mm head diameter; WaterMark","Krome 100mm hand shower available on Specify portal. Product page lists specifications above.",2026-02-09
Tapware,Shower,Methven,"Kiri MK2 Rail Shower Satinjet (KRSRCPAU)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/kiri-mk2-rail-shower-chrome-99935/,"Satinjet single-function spray; WELS 3-Star (Range D) 9.0L/min; brass construction; Chrome; 110mm head diameter; 670mm rail; height-adjustable twist-lock slider; Satin Lux hose; WaterMark certified; installation guidelines & technical drawings available","Kiri MK2 Rail Shower available on Specify portal. Product page confirms WELS 3-Star rating at 9.0L/min, Satinjet spray technology, and provides installation guidelines. Also available: Kiri MKII Satinjet Low Flow Wall Shower Rose (KRLFWSCP).",2026-02-09
Tapware,Basin Mixer,Methven,"Maku Basin Mixer (01-8505F)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/maku-basin-mixer-chrome-120944/,"Chrome; WaterMark certified; minimalist design; Satinjet & all-pressure compatible; NZ designed & engineered; part of Maku collection (geometric to minimalist aesthetic)","Maku Basin Mixer available on Specify portal. Product page indicates NZ designed and Maku collection membership.",2026-02-09
Tapware,Basin Mixer,CLARK,"Clark Round Square Basin Mixer – Lead Free (CL10018.C5AF)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/round-square-basin-mixer-lead-free-chrome-117221/,"Lead-free brass; Chrome (also Matte Black); WELS 5-Star (6.0L/min); 1/2-turn ceramic disc cartridge; 115mm outlet; WaterMark certified; soft PEX hoses; Australian designed & engineered","Clark Round Square Basin Mixer available on Specify portal. Product page confirms WELS 5-Star rating at 6.0L/min and lead-free brass construction.",2026-02-09
Basins & Vanities,Basin,Caroma,"Urbane II Under Counter Basin (878500W)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/caroma-urbane-ii-under-counter-basin-white-106105/?category=/products/basins/,"White vitreous china; under-counter installation; WaterMark","Urbane II under-counter basin available on Specify portal.",2026-02-09
Basins & Vanities,Basin,Caroma,"Liano II 400mm Round Inset Basin (852400W)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/caroma-liano-ii-400mm-round-inset-basin-white-111925/?category=/products/basins/,"400mm round; white vitreous china; inset installation; WaterMark","Liano II 400mm inset basin available on Specify portal. Product page lists specifications above.",2026-02-09
Basins & Vanities,Basin,Caroma,"Liano II Hand Wall Basin (1TH) with Overflow (853015W)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/caroma-liano-ii-hand-wall-basin-1-tap-hole-with-overflow-white-124774/?category=/products/basins/,"Wall-mounted; 1 tap hole; overflow; vitreous china; compact form","Liano II hand wall basin available on Specify portal. Product page lists specifications above.",2026-02-09
Basins & Vanities,Basin,Caroma,"Contura II 530mm Inset Basin (853300W)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/caroma-contura-ii-530mm-inset-basin-white-118156/?category=/products/basins/,"530mm; inset; white vitreous china; WaterMark","Contura II 530mm inset basin available on Specify portal.",2026-02-09
Basins & Vanities,Basin,CLARK,"Clark Round Inset Basin 350mm (CL40010.W0) / Round Inset Basin with Tap Landing 400mm (CL40011.W1)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/round-inset-basin-with-tap-landing-400mm-white-81061/?category=/brands/clark/,"White vitreous china; 350mm or 400mm; inset mount; WaterMark","Clark Round Inset Basin available on Specify portal in 350mm and 400mm variants.",2026-02-09
Basins & Vanities,Vanity,Fienza,"Dolce Edge Scandi Oak 900 Offset Vanity on Kickboard (TCL90RSK)",Manufacturer website – product page,https://fienza.com.au/product/dolce-edge-scandi-oak-900-offset-vanity-on-kickboard-right-basin/,"900mm W x 460mm D x 870mm H; Edge Scandi Oak textured finish; Dolce 900 offset ceramic basin-top (20mm vitrified ceramic, gloss white); soft-close doors & drawers; bevelled edge pull-channel; full extension drawer runners; cabinet spec sheet & basin-top spec sheet & installation guide available","Dolce Edge Scandi Oak 900 vanity available on Fienza website. Product page provides cabinet specifications PDF, basin-top specifications PDF, and installation guide.",2026-02-09
Baths,Corner Bath,Caroma,"Urbane II Back to Corner Bath 1500mm (UII5LHCW)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/caroma-urbane-ii-back-to-corner-bath-1500-white-119732/?category=/brands/caroma/,"1500mm; acrylic; back-to-corner; left-hand side; no overflow option; white","Urbane II back-to-corner bath available on Specify portal. Product page lists specifications above.",2026-02-09
Baths,Freestanding Bath,Caroma,"Contura II 1700mm Freestanding Bath (CII7FSMC)",Manufacturer specify portal – product page,https://specify.caroma.com/au/product/caroma-contura-ii-1700mm-freestanding-bath-matte-clay-118121/?category=/brands/caroma/,"1700mm; freestanding; matte clay finish; acrylic","Contura II freestanding bath available on Specify portal in matte clay finish.",2026-02-09
Baths,Freestanding Bath,Decina,"Aurora 1500/1700 Back to Wall Freestanding Bath (AU1700MWIO)",Manufacturer website – product page,https://decina.com.au/product/aurora-1500-1700-back-to-wall-freestanding-bath/,"Premium sanitary grade acrylic; matte white finish; back-to-wall freestanding; 1500mm (135L) / 1700mm (162L); 800mm W x 600mm H; matte white pop-up plug & waste; integrated slot overflow; steel support frame; self-supporting feet; AS 1172.5:2019 compliant; 10-year warranty; spec sheet & installation instructions PDF","Aurora back-to-wall freestanding bath available on Decina website. Product page confirms AS 1172.5:2019 compliance and provides spec sheet PDF and installation instructions.",2026-02-09
Baths,Freestanding Bath,Fienza,"Minka Solid Surface Bath 1700mm (ST20-1700)",Manufacturer website – product page,https://fienza.com.au/product/minka-solid-surface-bath-1700mm-matte-white/,"Solid surface stone; 1700mm; matte white; freestanding; 300L capacity; spec sheet PDF & BIM & brochure available; customisable bath waste accents","Minka solid surface bath available on Fienza website. Product page provides spec sheet PDF and BIM downloads.",2026-02-09
Drainage,Linear Drain,Stormtech,"65mm Range – Architecture Grate 65ARG25",Manufacturer website – product page,https://www.stormtech.com.au/products/65ARG25,"65mm width; 74mm channel width; 27mm depth; 316 stainless steel; WaterMark certified; GreenTag Level A Gold; Architecture (AR) wedge-wire grate; modular & made-to-length; lengths 750mm-3000mm; DN40/DN50/DN80 compatible; BIM downloads; spec sheet PDF; also available in TR/MND/PS/Ti/PAS/PPS/AA grate styles","65ARG25 linear drain available on Stormtech website. Product page confirms WaterMark and GreenTag Level A Gold certifications, provides BIM downloads and spec sheet PDF.",2026-02-09
Drainage,Linear Drain,Stormtech,"100mm Range – Architecture Grate 100ARG20",Manufacturer website – product page,https://www.stormtech.com.au/products/100ARG20,"100mm width; 106mm channel width; 23mm depth; 316 stainless steel; WaterMark certified; GreenTag Level A Gold; Architecture (AR) wedge-wire grate; modular & made-to-length; lengths 900mm-3000mm; DN40/DN50/DN80/DN100 compatible; shower screen support channel option (120SCS); BIM downloads; spec sheet PDF","100ARG20 linear drain available on Stormtech website with shower screen support channel option (120SCS). Product page provides BIM downloads and spec sheet PDF.",2026-02-09
Drainage,Floor Waste,Stormtech,"Square Floor Waste SQ100ARDN80",Manufacturer website – product page,https://www.stormtech.com.au/products/SQ100ARDN80,"Square 104mm; 22mm depth; DN80 outlet; 316 stainless steel; WaterMark certified; GreenTag Level A Gold; Architecture (AR) wedge-wire grate; also available in TR/MND/PS/Ti/AA grate styles and DN50/DN100 outlet sizes; multiple finishes including Black and Brushed Gold; spec sheet PDF & BIM available","SQ100ARDN80 square floor waste available on Stormtech website. Product page confirms WaterMark and GreenTag certifications, lists finish options, and provides spec sheet PDF and BIM.",2026-02-09
Drainage,Threshold Drain,Stormtech,"Threshold Drain 65ARTDiS",Manufacturer website – product page,https://www.stormtech.com.au/products/65ARTDiS,"65mm Threshold range; 75mm channel width; 316 stainless steel; WaterMark certified; GreenTag Level A Gold; made-to-length; for door track/sill applications; custom lengths; NCC livable housing compliance; bifold door compatible variant (100ARTDiBF); spec sheet PDF & BIM available","65ARTDiS threshold drain available on Stormtech website. Product page confirms NCC livable housing compliance and provides spec sheet PDF and BIM.",2026-02-09
Cross-category,Trends,Multiple,"Professional specification recurring fields and trends",Aggregated from Caroma Specify portal + Stormtech + Methven + Fienza + Decina,"https://specify.caroma.com/au/ | https://www.stormtech.com.au/products/ | https://specify.caroma.com/au/brands/methven/ | https://fienza.com.au | https://decina.com.au","RECURRING SPEC FIELDS: (1) WELS star rating (min 4-Star for toilets, 3-Star+ for tapware); (2) WaterMark certification (mandatory for all plumbing products under AS/NZS 3718); (3) AS1428.1 accessible/ambulant compliance flags; (4) Trap type (P-Trap/S-Trap/Universal) and set-out dimensions; (5) Inlet type (bottom/back entry, concealed cistern); (6) Lead-free tapware (May 2026 WaterMark requirement); (7) Cleanflush/rimless toilet technology; (8) GermGard antimicrobial (Caroma premium); (9) Finish options (Chrome dominant, Matte Black growing, Brushed Bronze/Brushed Nickel/Brushed Gold emerging); (10) BIM file availability (RFA/DAE/SKP) for architectural specification; (11) 316 stainless steel for drainage (WaterMark + corrosion resistance); (12) AS 3740:2021 wet area waterproofing compliance; (13) NCC 2022 livable housing level threshold requirements; (14) Collection coordination (matching tapware/accessories/sanitaryware); (15) Wall-faced and wall-hung toilet configurations","Aggregated recurring specification fields observed across manufacturer portals. Professional specifications emphasize compliance attributes (WELS/WaterMark/AS1428.1/AS3500/NCC) and technical detail (trap type, set-out, inlet type) not typically present in consumer product descriptions.",2026-02-09
